team1,team2,venue,toss_winner,toss_decision,winner
Sunrisers Hyderabad,Kolkata Knight Riders,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Chennai Super Kings,Lucknow Super Giants,M. A. Chidambaram Stadium,Chennai Super Kings,bat,Chennai Super Kings
Chennai Super Kings,Mumbai Indians,Ekana Cricket Stadium,Mumbai Indians,field,Mumbai Indians
Chennai Super Kings,Lucknow Super Giants,M. Chinnaswamy Stadium,Chennai Super Kings,field,Chennai Super Kings
Royal Challengers Bangalore,Delhi Capitals,Ekana Cricket Stadium,Delhi Capitals,bat,Delhi Capitals
Gujarat Titans,Rajasthan Royals,Ekana Cricket Stadium,Gujarat Titans,field,Rajasthan Royals
Lucknow Super Giants,Sunrisers Hyderabad,Sawai Mansingh Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Lucknow Super Giants,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Lucknow Super Giants,bat,Lucknow Super Giants
Sunrisers Hyderabad,Lucknow Super Giants,Arun Jaitley Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad
Delhi Capitals,Rajasthan Royals,Arun Jaitley Stadium,Rajasthan Royals,bat,Rajasthan Royals
Mumbai Indians,Lucknow Super Giants,Rajiv Gandhi Intl. Stadium,Lucknow Super Giants,field,Lucknow Super Giants
Sunrisers Hyderabad,Delhi Capitals,Rajiv Gandhi Intl. Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Gujarat Titans,Sunrisers Hyderabad,HPCA Stadium,Gujarat Titans,field,Gujarat Titans
Mumbai Indians,Lucknow Super Giants,Wankhede Stadium,Lucknow Super Giants,field,Mumbai Indians
Gujarat Titans,Mumbai Indians,HPCA Stadium,Gujarat Titans,bat,Mumbai Indians
Gujarat Titans,Sunrisers Hyderabad,HPCA Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
Royal Challengers Bangalore,Gujarat Titans,HPCA Stadium,Gujarat Titans,field,Gujarat Titans
Punjab Kings,Rajasthan Royals,Narendra Modi Stadium,Punjab Kings,bat,Rajasthan Royals
